Team,Games,FG%,FG%_rank,FT%,FT%_rank,3P,3P_rank,PTS,PTS_rank,REB,REB_rank,AST,AST_rank,STL,STL_rank,BLK,BLK_rank,TOV,TOV_rank,rank,week
Otzma modi'in,45,.484,5,.793,9,63,5,627,4,232,9,153,6,46,10,26,8,51,12,7.56,15
Floki's monsters,37,.491,7,.767,5,82,12,682,7,234,10,171,12,38,5,23,4.5,81,5,7.5,15
Trust the Process,43,.520,9,.751,3,75,11,741,10,231,8,157,7,42,8,24,6,85,3,7.22,15
The Burger Kings,43,.529,11,.831,11,59,2.5,519,1,182,1,158,8.5,48,11,28,10.5,65,8,7.17,15
SenGOAT 2.0,47,.516,8,.775,7,59,2.5,774,11,253,12,151,5,40,7,27,9,100,1,6.94,15
Three & D 🏀🏀,45,.437,1,.771,6,66,8,520,2,190,3,159,10,43,9,29,12,70,7,6.44,15
Agami's Team H2H kp,44,.483,4,.740,2,63,5,790,12,221,7,158,8.5,49,12,21,3,89,2,6.17,15
The Black Bamba,47,.443,2,.787,8,63,5,641,5.5,238,11,121,2,38,5,28,10.5,78,6,6.11,15
SqueeZee's Boys,43,.489,6,.841,12,65,7,688,8,184,2,145,4,35,3,12,1.5,82,4,5.28,15
Ariel's Amazing Team,40,.478,3,.758,4,68,9,641,5.5,207,5,100,1,28,1,25,7,55,11,5.17,15
Mello!,45,.532,12,.720,1,45,1,521,3,214,6,124,3,30,2,23,4.5,64,9,4.61,15
Otzma modi'in,46,.534,12,.773,4,66,6,642,4,251,6,126,3,44,11,33,12,64,11.5,7.72,16
Trust the Process,50,.496,10,.764,3,51,3,777,10,302,12,176,11,36,5,27,9,78,6,7.67,16
The Burger Kings,45,.459,2,.838,11,66,6,650,5,284,10,172,10,45,12,23,4,74,9,7.67,16
Floki's monsters,45,.484,8,.779,5,74,11,793,11,291,11,206,12,32,2,19,3,103,1,7.11,16
SenGOAT 2.0,38,.479,5,.843,12,52,4,595,2,229,4,131,4,41,9,28,10,64,11.5,6.83,16
The Big Fundamental,46,.467,3,.836,10,96,12,802,12,225,2.5,155,7,37,6,15,2,80,4,6.5,16
The Black Bamba,46,.482,7,.825,9,69,8,706,7,241,5,124,2,42,10,24,5.5,82,3,6.28,16
Ariel's Amazing Team,47,.468,4,.795,7,66,6,680,6,266,9,119,1,34,3.5,26,8,69,10,6.06,16
Agami's Team H2H kp,46,.504,11,.696,1,46,2,745,9,255,7.5,163,9,31,1,29,11,83,2,5.94,16
Mello!,47,.494,9,.797,8,45,1,567,1,255,7.5,162,8,34,3.5,25,7,76,7,5.78,16
Three & D 🏀🏀,43,.441,1,.782,6,73,10,618,3,225,2.5,148,5.5,39,8,24,5.5,75,8,5.5,16
SqueeZee's Boys,43,.481,6,.747,2,71,9,708,8,210,1,148,5.5,38,7,14,1,79,5,4.94,16
The Black Bamba,44,.506,8,.864,11,67,11,673,8,211,5,154,8,39,9.5,35,11,59,10,9.06,17
Mello!,46,.507,9,.827,8,71,12,737,10,243,11,159,9,51,12,25,7,86,3,9.0,17
The Burger Kings,43,.512,10,.849,9,64,9,577,4,258,12,121,4,36,6,18,4,47,12,7.78,17
Floki's monsters,43,.490,6,.851,10,66,10,746,11,233,8,166,10,31,5,20,5,81,4,7.67,17
SenGOAT 2.0,42,.503,7,.808,5,46,2,785,12,241,10,173,11,38,8,28,8.5,87,2,7.28,17
Trust the Process,40,.523,12,.819,7,47,3,653,6,224,6,122,5,37,7,39,12,66,6.5,7.17,17
Agami's Team H2H kp,44,.464,2,.818,6,50,4,681,9,210,4,193,12,39,9.5,28,8.5,90,1,6.22,17
The Big Fundamental,43,.459,1,.883,12,57,6,605,5,189,3,144,7,42,11,15,3,66,6.5,6.06,17
Ariel's Amazing Team,41,.478,5,.734,2,59,7,655,7,238,9,76,1,30,4,29,10,65,8,5.89,17
Otzma modi'in,47,.515,11,.714,1,44,1,486,1,229,7,117,3,28,2,24,6,64,9,4.56,17
SqueeZee's Boys,42,.466,3.5,.786,4,63,8,557,3,188,2,143,6,29,3,10,1,75,5,3.94,17
Three & D 🏀🏀,39,.466,3.5,.761,3,51,5,509,2,164,1,112,2,25,1,14,2,54,11,3.39,17
Floki's monsters,56,.526,12,.800,4,98,11.5,982,12,348,12,205,10,47,8,28,5.5,89,6,9.0,18
The Burger Kings,55,.508,9,.849,12,94,10,769,5,322,9,161,3,45,6,36,9,74,10.5,8.17,18
Otzma modi'in,55,.518,11,.811,5,85,7,830,8,286,7,183,6,56,12,40,11,103,3,7.78,18
Mello!,51,.493,8,.830,11,78,6,735,2,276,6,219,12,48,9,29,7,88,7,7.56,18
The Big Fundamental,54,.513,10,.793,2,92,9,884,9,304,8,174,5,44,5,30,8,74,10.5,7.39,18
Trust the Process,56,.486,6,.798,3,76,5,930,11,337,11,137,2,49,10,47,12,102,4,7.11,18
SenGOAT 2.0,56,.474,4,.828,10,69,1,913,10,329,10,210,11,39,3,37,10,120,1,6.67,18
SqueeZee's Boys,57,.444,1,.817,9,98,11.5,826,7,242,3,186,7,55,11,7,1,106,2,5.83,18
Ariel's Amazing Team,53,.482,5,.815,7.5,87,8,753,3,266,5,108,1,31,2,28,5.5,72,12,5.44,18
The Black Bamba,57,.470,3,.813,6,74,4,777,6,258,4,196,9,42,4,27,4,90,5,5.0,18
Agami's Team H2H kp,52,.487,7,.792,1,71,2.5,763,4,204,1,189,8,46,7,23,3,87,8,4.61,18
Three & D 🏀🏀,48,.456,2,.815,7.5,71,2.5,639,1,215,2,166,4,30,1,21,2,77,9,3.44,18
SenGOAT 2.0,42,.548,12,.741,2,44,3,695,8,253,7,184,11,48,10,34,9.5,66,11,8.17,19
The Burger Kings,49,.480,5,.828,8,75,10,645,4,298,12,165,9.5,52,12,34,9.5,85,3,8.11,19
Mello!,46,.512,8,.826,7,71,9,701,9,261,8,165,9.5,34,4,33,8,74,6,7.61,19
Floki's monsters,44,.533,11,.747,3,79,12,764,10,265,9,161,8,38,6,25,6,85,3,7.56,19
Agami's Team H2H kp,49,.502,6,.773,4,62,5,850,12,289,11,197,12,37,5,37,11.5,108,1,7.5,19
Otzma modi'in,44,.515,9,.685,1,65,6,673,6,268,10,160,7,43,7,37,11.5,79,5,6.94,19
The Big Fundamental,42,.506,7,.863,12,54,4,638,3,179,3,135,3,44,8.5,18,5,69,10,6.17,19
Ariel's Amazing Team,43,.478,4,.843,10.5,78,11,769,11,195,5,104,2,25,2,26,7,85,3,6.17,19
SqueeZee's Boys,46,.460,1,.843,10.5,68,8,692,7,184,4,156,6,44,8.5,12,1.5,71,7,5.94,19
Three & D 🏀🏀,46,.462,2,.816,6,66,7,649,5,220,6,139,4,51,11,17,4,70,8.5,5.94,19
